run_id,source,archive,source_sha256,line_start,line_end,code_revision,machine_label,dataset,seed,prefix,kind,tasks_with_metrics,planned_tasks,status,config_fingerprint,average_accuracy,last_accuracy,old_accuracy,new_accuracy,forgetting,task0_accuracy,total_seconds,selected_config
"9b5374cb02e3-R001","/Users/luxiaogen/Desktop/loda_logs/9-13/9_13_qk0_qv_t10.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/9b5374cb02_9_13_qk0_qv_t10.log","9b5374cb02e3c644d2876f562791af565adbfbf0b9fab3075fe656b21df89594","50","335","004dfc8","","ImageNet_R","1993","imgr10_qk0_task0_seed1993_qv_after_task0_20260913_135557_uskHiB","Task0_only","1","1","metrics_complete","a8c74f7c7c020c8d087e800992f8b96b7c49e548d4a15b82a453ad1fa41d573a","94.05","94.05","0","94.05","","94.05","239.08","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"9b5374cb02e3-R002","/Users/luxiaogen/Desktop/loda_logs/9-13/9_13_qk0_qv_t10.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/9b5374cb02_9_13_qk0_qv_t10.log","9b5374cb02e3c644d2876f562791af565adbfbf0b9fab3075fe656b21df89594","335","1640","004dfc8","","ImageNet_R","1993","imgr10_qk0_qkv_baseline_seed1993_qv_after_task0_20260913_135557_uskHiB","T10","10","10","metrics_complete","88eaa190eba734e4fe613db8d55bb229e4a72450c40f4d7f1286e227838a2309","85.96","82","81.61","85.66","5.5967","94.05","2617.91","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"9b5374cb02e3-R003","/Users/luxiaogen/Desktop/loda_logs/9-13/9_13_qk0_qv_t10.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/9b5374cb02_9_13_qk0_qv_t10.log","9b5374cb02e3c644d2876f562791af565adbfbf0b9fab3075fe656b21df89594","1640","2934","004dfc8","","ImageNet_R","1993","imgr10_qk0_qv_after_task0_seed1993_qv_after_task0_20260913_135557_uskHiB","T10","10","10","metrics_complete","42bed6c3b576aa411933764682a69b323ee0241afffd4578eea956547debbf5c","85.81599999999999","81.57","81.28","84.28","5.5311","94.05","2649.94","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"e022c0331864-R001","/Users/luxiaogen/Desktop/loda_logs/9-13/9_13_qv_after_task0_t10_from_scratch.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/e022c03318_9_13_qv_after_task0_t10_from_scratch.log","e022c0331864ba8ecf822d039043e56230fe4f567e11e315ea583545e2133696","38","1052","57032f8","","ImageNet_R","1993","imgr10_qkv_full_seed1993_qv_after_task0_20260913_160126_p7Mn9R","T10","10","10","metrics_complete","0356e8ef3768f72439c3a40a72bd4493d3608d965f5b7c8495da3641b19071c7","86.939","82.52","82.16","85.84","5.39","96.23","2908.89","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"e022c0331864-R002","/Users/luxiaogen/Desktop/loda_logs/9-13/9_13_qv_after_task0_t10_from_scratch.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/e022c03318_9_13_qv_after_task0_t10_from_scratch.log","e022c0331864ba8ecf822d039043e56230fe4f567e11e315ea583545e2133696","1052","2055","57032f8","","ImageNet_R","1993","imgr10_qkv0_qv_after_task0_seed1993_qv_after_task0_20260913_160126_p7Mn9R","T10","10","10","metrics_complete","9173d78617f80b79d95ea230f1a0d9e49c69f9700e79bc110612ebf987abf8bd","86.92999999999999","82.28","81.96","85.32","5.4844","96.81","2888.03","{""init_epoch"":20,""epochs"":20,""init_lr"":0.02,""lrate"":0.02,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"7d16ca3e2140-R001","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_3090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/7d16ca3e21_9_13_lora_inherit_3090.log","7d16ca3e21408a34ad9295df6e70f3e078705700fd1d41314d61a8e797b9b4c2","36","1047","","3090","CUB","1993","cub10_fresh_seed1993_20260913_222029","T10","10","10","metrics_complete","4f67b70cc4a1b9d3d8ff891f10ccfdcf1e5cb166a3ea81cd8a5955d10ff89d2c","93.63","90.25","90.51","87.83","4.2933","97.98","1995.28","{""init_epoch"":20,""epochs"":20,""init_lr"":0.005,""lrate"":0.005,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"7d16ca3e2140-R002","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_3090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/7d16ca3e21_9_13_lora_inherit_3090.log","7d16ca3e21408a34ad9295df6e70f3e078705700fd1d41314d61a8e797b9b4c2","1047","2274","","3090","CUB","1993","cub10_inherit_seed1993_20260913_222029","T10","10","10","metrics_complete","af28e35a21a084ffdd6aed646f478b4573d4e0acf10dad08e2ba96d7085aba56","93.66100000000002","89.95","90.13","88.26","4.7289","98.38","1929.52","{""init_epoch"":20,""epochs"":20,""init_lr"":0.005,""lrate"":0.005,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"7d16ca3e2140-R003","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_3090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/7d16ca3e21_9_13_lora_inherit_3090.log","7d16ca3e21408a34ad9295df6e70f3e078705700fd1d41314d61a8e797b9b4c2","2274","3285","","3090","CUB","1996","cub10_fresh_seed1996_20260913_222029","T10","10","10","metrics_complete","5a19657b2b3486b974948a7b5957dd4d13c059903538018eda21d664b26f00e1","94.62100000000001","90.2","90.93","83.82","4.1589","100","1928.53","{""init_epoch"":20,""epochs"":20,""init_lr"":0.005,""lrate"":0.005,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"7d16ca3e2140-R004","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_3090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/7d16ca3e21_9_13_lora_inherit_3090.log","7d16ca3e21408a34ad9295df6e70f3e078705700fd1d41314d61a8e797b9b4c2","3285","4511","","3090","CUB","1996","cub10_inherit_seed1996_20260913_222029","T10","10","10","metrics_complete","66c1f3246936a423a16ff7889d56c6d1576751fd4d212593ba8db4945475e70a","94.519","89.99","90.55","85.06","4.5856","100","1931.42","{""init_epoch"":20,""epochs"":20,""init_lr"":0.005,""lrate"":0.005,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
"7d16ca3e2140-R005","/Users/luxiaogen/Desktop/loda_logs/9-14/9_13_lora_inherit_3090.log","docs/experiments/raw/experiments/2026.09.26_实验查重_DM-B-260926-006/7d16ca3e21_9_13_lora_inherit_3090.log","7d16ca3e21408a34ad9295df6e70f3e078705700fd1d41314d61a8e797b9b4c2","4511","5522","","3090","CUB","1997","cub10_fresh_seed1997_20260913_222029","T10","10","10","metrics_complete","32b655827e3f3a129d120391d4cfbad05a52fcc0c91424c11fe205f381d082b8","93.491","90.37","90.94","85.29","3.3278","96.55","1923.94","{""init_epoch"":20,""epochs"":20,""init_lr"":0.005,""lrate"":0.005,""ca_epochs"":5,""dual_mask_anchor_reg_weight"":10,""dual_mask_reg_weight"":0.01,""dual_mask_conflict_reg_enabled"":false,""dual_mask_conflict_ratio"":0.1,""dual_mask_conflict_strength"":0.5,""dual_mask_conflict_energy_adaptive"":true,""dual_mask_conflict_old_overlap_adaptive"":true,""dual_mask_private_conflict_mode"":""global"",""dual_mask_private_rank"":0}"
